job_id;company_name;title;max_salary;pay_period;location;company_id;views;med_salary;min_salary;formatted_work_type;applies;original_listed_time;remote_allowed;job_posting_url;application_type;expiry;closed_time;formatted_experience_level;skills_desc;listed_time;sponsored;work_type;currency;compensation_type;normalized_salary;zip_code;fips;salary_id;industry_id;skill_readable;name;description_company;state;country;city;zip_code_company;address;industry
266566927;Revesco Properties;Marketing & Office Coordinator;750000;YEARLY;Denver, CO;85772520;130;0;550000;Full-time;10;1,71E+13;;https://www.linkedin.com/jobs/view/266566927/?trk=jobs_biz_prem_srch;SimpleOnsiteApply;1,72E+13;;;;1,71E+13;0;FULL_TIME;USD;BASE_SALARY;650000;802020;80310;;;;Confidential Company;;;;;;;Unknown Industry
266825034;Recruitment Design;Software Support Specialist;650000;YEARLY;McLean, VA;992125090;0;0;600000;Full-time;0;1,71E+13;;https://www.linkedin.com/jobs/view/266825034/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,73E+13;;;;1,71E+13;0;FULL_TIME;USD;BASE_SALARY;625000;221010;510590;;;;Confidential Company;;;;;;;Unknown Industry
280496925;Washington State University;Coordinator for Multicultural Student Organizations;48170;MONTHLY;Pullman, WA;1668750;70;0;40610;Full-time;0;1,71E+13;;https://www.linkedin.com/jobs/view/280496925/?trk=jobs_biz_prem_srch;OffsiteApply;1,72E+13;;;;1,71E+13;0;FULL_TIME;USD;BASE_SALARY;532680;991630;530750;;;;Confidential Company;;;;;;;Unknown Industry
345332937;Headquarters Barbershop;Barber;0;NOT SPECIFIED;Grafton, WI;99001620;30;0;0;Part-time;0;1,71E+13;;https://www.linkedin.com/jobs/view/345332937/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,72E+13;;;;1,71E+13;0;PART_TIME;;;;530240;550890;;;;Confidential Company;;;;;;;Unknown Industry
358267047;ADEPT HRM Solutions;Production Planner (Food Technologist);0;NOT SPECIFIED;Concord, NC;3489760;60;0;0;Full-time;10;1,71E+13;;https://www.linkedin.com/jobs/view/358267047/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,71E+13;;;;1,71E+13;0;FULL_TIME;;;;280250;370250;;;;Confidential Company;;;;;;;Unknown Industry
368586246;STL Fertility;Embryologist;0;NOT SPECIFIED;St Louis, MO;812473110;20;0;0;Full-time;0;1,71E+13;;https://www.linkedin.com/jobs/view/368586246/?trk=jobs_biz_prem_srch;OffsiteApply;1,72E+13;;;;1,71E+13;0;FULL_TIME;;;;633670;291830;;;;Confidential Company;;;;;;;Unknown Industry
445337908;Food Bank of Alaska;Chief Operating Officer;1100000;YEARLY;Anchorage, AK;88491970;70;0;900000;Full-time;0;1,71E+13;;https://www.linkedin.com/jobs/view/445337908/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,72E+13;;;;1,71E+13;0;FULL_TIME;USD;BASE_SALARY;1000000;995010;20200;;;;Confidential Company;;;;;;;Unknown Industry
606178500;Jung & Vassar PC Attorneys At Law A Law Corp;Associate Attorney;1350000;YEARLY;Kailua-Kona, HI;538123390;30;0;1050000;Full-time;0;1,71E+13;;https://www.linkedin.com/jobs/view/606178500/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,72E+13;;;;1,71E+13;0;FULL_TIME;USD;BASE_SALARY;1200000;967400;150010;;;;Confidential Company;;;;;;;Unknown Industry
634823509;;HVAC Technician;0;NOT SPECIFIED;Brooklyn, NY;;20;0;0;Full-time;0;1,71E+13;;https://www.linkedin.com/jobs/view/634823509/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,72E+13;;;;1,71E+13;0;FULL_TIME;;;;112010;360470;;;;Confidential Company;;;;;;;Unknown Industry
658723396;Orlando Credit Union;External Mortgage Loan Officer;0;NOT SPECIFIED;Orlando, FL;406538830;20;0;0;Full-time;0;1,71E+13;;https://www.linkedin.com/jobs/view/658723396/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,72E+13;;;;1,71E+13;0;FULL_TIME;;;;328010;120950;;;;Confidential Company;;;;;;;Unknown Industry
705356075;Blackland Home Inspections, PLLC;TREC licensed Professional Home Inspector;280;HOURLY;Dallas-Fort Worth Metroplex;271698080;20;0;240;Full-time;0;1,71E+13;;https://www.linkedin.com/jobs/view/705356075/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,72E+13;;;;1,71E+13;0;FULL_TIME;USD;BASE_SALARY;540800;;;;;;Confidential Company;;;;;;;Unknown Industry
805229245;;Manager, Retail Pharmacy;1650000;YEARLY;Tucson, AZ;;10;0;1100000;Full-time;0;1,71E+13;;https://www.linkedin.com/jobs/view/805229245/?trk=jobs_biz_prem_srch;OffsiteApply;1,72E+13;;;;1,71E+13;0;FULL_TIME;USD;BASE_SALARY;1375000;857010;40190;;;;Confidential Company;;;;;;;Unknown Industry
844454682;;Commercial Property Manager;0;NOT SPECIFIED;Houston, TX;;340;0;0;Full-time;120;1,71E+13;;https://www.linkedin.com/jobs/view/844454682/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,73E+13;;;;1,71E+13;0;FULL_TIME;;;;770020;482010;;;;Confidential Company;;;;;;;Unknown Industry
857299959;;SALES;900000;YEARLY;Hackensack, NJ;;20;0;400000;Full-time;0;1,71E+13;;https://www.linkedin.com/jobs/view/857299959/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,73E+13;;;;1,71E+13;0;FULL_TIME;USD;BASE_SALARY;650000;76010;340030;;;;Confidential Company;;;;;;;Unknown Industry
935210241;Einbinder & Dunn LLP;Transactional Attorney;0;NOT SPECIFIED;New York, NY;26952830;10;0;0;Full-time;0;1,71E+13;;https://www.linkedin.com/jobs/view/935210241/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,73E+13;;;;1,71E+13;0;FULL_TIME;;;;100010;360610;;;;Confidential Company;;;;;;;Unknown Industry
974774701;Kate Meadows Writing and Editing;Blog writer and virtual assistant;0;NOT SPECIFIED;South Dakota, United States;934004540;850;0;0;Contract;210;1,71E+13;10;https://www.linkedin.com/jobs/view/974774701/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,71E+13;;;;1,71E+13;0;CONTRACT;;;;;;;;;Confidential Company;;;;;;;Unknown Industry
1014822088;Tracker;Marketing Specialist;800000;YEARLY;United States;2552520;70;0;700000;Full-time;20;1,71E+13;10;https://www.linkedin.com/jobs/view/1014822088/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,72E+13;;;;1,71E+13;0;FULL_TIME;USD;BASE_SALARY;750000;;;;;;Confidential Company;;;;;;;Unknown Industry
1093227543;POSHI;Sales Associate Natural Food Products;1200000;YEARLY;Miami, FL;112384510;710;0;600000;Full-time;160;1,71E+13;;https://www.linkedin.com/jobs/view/1093227543/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,73E+13;;;;1,71E+13;0;FULL_TIME;USD;BASE_SALARY;900000;331220;120250;;;;Confidential Company;;;;;;;Unknown Industry
1129235875;TURNER HYDRAULICS, INC;Industrial Sales Representative;0;NOT SPECIFIED;Lancaster, PA;538247690;30;0;0;Full-time;0;1,71E+13;;https://www.linkedin.com/jobs/view/1129235875/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,72E+13;;;;1,71E+13;0;FULL_TIME;;;;176010;420710;;;;Confidential Company;;;;;;;Unknown Industry
1143359956;;National Sales Manager;850000;YEARLY;Los Angeles, CA;;520;0;750000;Full-time;60;1,71E+13;;https://www.linkedin.com/jobs/view/1143359956/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,73E+13;;;;1,71E+13;0;FULL_TIME;USD;BASE_SALARY;800000;900010;60370;;;;Confidential Company;;;;;;;Unknown Industry
1168783207;;Reps manager;0;NOT SPECIFIED;Macon, GA;;0;0;0;Part-time;0;1,71E+13;10;https://www.linkedin.com/jobs/view/1168783207/?trk=jobs_biz_prem_srch;SimpleOnsiteApply;1,72E+13;;;;1,71E+13;0;PART_TIME;;;;312010;130210;;;;Confidential Company;;;;;;;Unknown Industry
1183148438;;Montessori Lead Guide, Primary;770000;YEARLY;Austin, TX;;20;0;450000;Full-time;0;1,71E+13;;https://www.linkedin.com/jobs/view/1183148438/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,73E+13;;;;1,71E+13;0;FULL_TIME;USD;BASE_SALARY;610000;787010;484530;;;;Confidential Company;;;;;;;Unknown Industry
1219205895;;Director of Training;1400000;YEARLY;New York, NY;;130;0;1200000;Full-time;30;1,71E+13;;https://www.linkedin.com/jobs/view/1219205895/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,73E+13;;;;1,71E+13;0;FULL_TIME;USD;BASE_SALARY;1300000;100010;360610;;;;Confidential Company;;;;;;;Unknown Industry
1448163866;Genlabs Corp;Office Manager;700000;YEARLY;Chino, CA;42733420;30;0;650000;Full-time;0;1,71E+13;;https://www.linkedin.com/jobs/view/1448163866/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,73E+13;;;;1,71E+13;0;FULL_TIME;USD;BASE_SALARY;675000;917080;60710;;;;Confidential Company;;;;;;;Unknown Industry
1573178251;;Social Media Coordinator;0;NOT SPECIFIED;New York, United States;;60;0;0;Part-time;0;1,71E+13;10;https://www.linkedin.com/jobs/view/1573178251/?trk=jobs_biz_prem_srch;SimpleOnsiteApply;1,73E+13;;;;1,71E+13;0;PART_TIME;;;;;;;;;Confidential Company;;;;;;;Unknown Industry
1586552873;A.G.P./Alliance Global Partners;Equity Institutional Sales Position;0;NOT SPECIFIED;New York City Metropolitan Area;118256610;20;0;0;Full-time;0;1,71E+13;;https://www.linkedin.com/jobs/view/1586552873/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,72E+13;;;;1,71E+13;0;FULL_TIME;;;;;;;;;Confidential Company;;;;;;;Unknown Industry
1755471110;NeuroJust ;Front Desk Administrator;0;NOT SPECIFIED;Metairie, LA;762565280;30;0;0;Full-time;0;1,71E+13;;https://www.linkedin.com/jobs/view/1755471110/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,72E+13;;;;1,71E+13;0;FULL_TIME;;;;700010;220510;;;;Confidential Company;;;;;;;Unknown Industry
1826257634;The Medicare Coach;Social Security Specialist / Retirement Benefit Advisor (Remote);250;HOURLY;Colorado, United States;356900060;600;0;190;Full-time;70;1,71E+13;10;https://www.linkedin.com/jobs/view/1826257634/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,72E+13;;;;1,71E+13;0;FULL_TIME;USD;BASE_SALARY;457600;;;;;;Confidential Company;;;;;;;Unknown Industry
1880409118;Kona Medical Consulting;Board Certified Behavior Analyst;0;NOT SPECIFIED;McDonough, GA;161545240;30;0;0;Full-time;0;1,71E+13;;https://www.linkedin.com/jobs/view/1880409118/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,72E+13;;;;1,71E+13;0;FULL_TIME;;;;302520;;;;;Confidential Company;;;;;;;Unknown Industry
